country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,notes
France,1 Franc,Vichy State Light Type (1942-1944),Aluminum,1,1.28,23.02,1.45,Plain,1942,1944,COIN,https://en.numista.com/catalogue/pieces298.html,Light type Francisque design - Vichy French State
France,10 Centimes,Third Republic (1917-1938),Copper-nickel,1,4,21,1.68,Reeded,1917,1938,COIN,https://en.numista.com/catalogue/pieces321.html,Third Republic design with Marianne
Monaco,2 Francs,Louis II (1943),Aluminum,1,2.25,27,1.7,Plain,1943,1943,COIN,https://en.numista.com/catalogue/pieces804.html,Undated - struck 1943 under Vichy initiative
Germany,3 Mark,Weimar Constitution (1922-1923),Aluminum,1,2,30,,Plain,1922,1923,COIN,https://en.numista.com/catalogue/pieces3415.html,Commemorating Weimar Constitution
