tx_date,tx_type,party,currency,shipping,tax,fees,notes,country,denomination,series,year,mint_mark,variety,quantity,unit_price,purchase_grade_company,purchase_grade_text,purchase_numeric_grade,estimated_grade_text,estimated_numeric_grade,valuation_method,manual_est_unit_value,storage_location
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Poland,1 Grosz,Third Republic - 1 Grosz (2013-2025),2021,,,1,0.54,,,,AU50,50,AUTO,,World Coins M-R
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Eastern Caribbean,10 Cents,Eastern Caribbean States - 10 Cents (2009-2022),2019,,,1,0.54,,,,EF40,40,AUTO,,World Coins A-F
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Singapore,10 Cents,Republic of Singapore - 10 Cents (2013-2019),2013,,,1,0.54,,,,AU50,50,AUTO,,World Coins S-Z
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Thailand,1 Baht,Rama IX - 1 Baht (1986-2008),2005,,,1,0.54,,,,VF30,30,AUTO,0.05,World Coins S-Z
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,,,,,,,1,0.54,,,,,,AUTO,,
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,,,,,,,1,0.54,,,,,,AUTO,,
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,,,,,,,1,0.54,,,,,,AUTO,,
