tx_date,tx_type,party,currency,shipping,tax,fees,notes,country,denomination,series,year,mint_mark,variety,quantity,unit_price,purchase_grade_company,purchase_grade_text,purchase_numeric_grade,estimated_grade_text,estimated_numeric_grade,valuation_method,manual_est_unit_value,storage_location
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Egypt,1 Pound,Arab Republic of Egypt - 1 Pound (2005-2025),2020,,,1,0.54,,,,,,,,World Coin Box
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Germany,1 Pfennig,Federal Republic - 1 Pfennig (1950-2001),1980,D,,1,0.54,,,,,,,0.05,World Coin Box
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Chile,100 Pesos,Republic - 100 Pesos (2001-2023),2008,,,1,0.54,,,,,,,0.3,World Coin Box
