country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
Poland,1 Grosz,Third Republic - 1 Grosz (2013-2025),Brass plated steel,1,1.64,15.5,1.2,Reeded,2013,2025,COIN,https://en.numista.com/catalogue/pieces60274.html,https://www.ngccoin.com/price-guide/world/poland-grosz-y-276-1990-2012-cuid-1112703-duid-1563963,,
Eastern Caribbean,10 Cents,Eastern Caribbean States - 10 Cents (2009-2022),Nickel plated steel,1,2.26,18.06,1.4,Reeded,2009,2022,COIN,https://en.numista.com/catalogue/pieces31888.html,https://www.ngccoin.com/price-guide/world/east-caribbean-states-10-cents-km-37-2002-2007-cuid-1052387-duid-1243731,,
Singapore,10 Cents,Republic of Singapore - 10 Cents (2013-2019),Nickel plated steel,1,2.36,18.5,1.38,Segmented Reeding,2013,2019,COIN,https://en.numista.com/catalogue/pieces42895.html,https://www.ngccoin.com/price-guide/world/singapore-10-cents-km-100-1992-2013-cuid-1091021-duid-1561124,,
Thailand,1 Baht,Rama IX - 1 Baht (1986-2008),Cu-Ni,1,3.4,20,1.48,Reeded,1986,2008,COIN,https://en.numista.com/catalogue/pieces1106.html,https://www.ngccoin.com/price-guide/world/thailand-baht-y-183-2529-2551-cuid-1092828-duid-1530481,,
South Africa,1 Rand,Republic of South Africa - 1 Rand (2004-2016),Nickel plated copper,1,4,20,1.8,Intermittent Reeding,2004,2016,COIN,https://en.numista.com/catalogue/pieces2476.html,https://www.ngccoin.com/price-guide/world/south-africa-rand-km-333-2004-cuid-1102264-duid-1561061,,
India,2 Rupees,Republic of India - 2 Rupees (2011-2019),Stainless steel,1,4.9,25,1.54,Plain,2011,2019,COIN,https://en.numista.com/catalogue/pieces24942.html,https://www.ngccoin.com/price-guide/world/india-republic-2-rupees-km-327-2007-2011-cuid-1184472-duid-1582412,,
Italy,50 Lire,Republic of Italy - 50 Lire (1954-1989),Acmonital,1,6.25,24.8,1.95,Reeded,1954,1989,COIN,https://en.numista.com/catalogue/pieces724.html,https://www.ngccoin.com/price-guide/world/italy-50-lire-km-95.1-1954-1989-cuid-1126033-duid-1472516,,
