country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
Mexico,10 Centavos,Mexican Republic - 10 Centavos (1992-2009),Stainless steel,1,2.08,17,1.3,Plain,1992,2009,COIN,https://en.numista.com/catalogue/pieces581.html,https://www.ngccoin.com/price-guide/world/mexico-estados-unidos-mexicanos-10-centavos-km-547-1992-2009-cuid-1116588-duid-1428049,,
Germany,5 Pfennigs,Federal Republic - 5 Pfennigs (1950-2001),Brass clad steel,1,3,18.5,1.7,Plain,1950,2001,COIN,https://en.numista.com/catalogue/pieces658.html,https://www.ngccoin.com/price-guide/world/germany-federal-republic-5-pfennig-km-107-1950-2001-cuid-1129599-duid-1316094,,
Colombia,50 Pesos,Republic of Colombia - 50 Pesos (2012-2025),Nickel plated steel,1,2,17,1.3,Plain,2012,2025,COIN,https://en.numista.com/catalogue/pieces34771.html,https://www.ngccoin.com/price-guide/world/colombia-50-pesos-km-295-2012-2015-cuid-1064894-duid-1824548,,
Canada,5 Cents,Elizabeth II - 5 Cents (1979-1981),Nickel,1,4.54,21.21,1.7,Plain,1979,1981,COIN,https://en.numista.com/catalogue/pieces444616.html,https://www.ngccoin.com/price-guide/world/canada-5-cents-km-60.2-1979-1981-cuid-1034516-duid-1257986,,
