country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
Tunisia,1 Franc,Chambers of Commerce - 1 Franc,Al (Bronze),1,4,23,1.59,Reeded,1921,1945,COIN,https://en.numista.com/catalogue/pieces821.html,https://www.ngccoin.com/price-guide/world/tunisia-franc-km-247-1340-1921-1364-1945-cuid-1091233-duid-1530664,,
Tunisia,10 Centimes,Ahmad II (1929-1942),Zinc,1,2.5,21,1.5,Reeded,1941,1942,COIN,https://en.numista.com/catalogue/pieces8188.html,https://www.ngccoin.com/price-guide/world/tunisia-10-centimes-km-267-1360-1941-1361-1942-cuid-1091989-duid-1527353,,
Tunisia,50 Centimes,Chambers of Commerce - 50 Centimes,Al (Bronze),1,2,18,1.4,Reeded,1921,1945,COIN,https://en.numista.com/catalogue/pieces1208.html,https://www.ngccoin.com/price-guide/world/tunisia-50-centimes-km-246-1340-1921-1364-1945-cuid-1090551-duid-1528047,,
Canada,25 Cents,Elizabeth II (1965-1966),Ag,0.8,5.83,23.88,1.52,Reeded,1965,1966,COIN,https://en.numista.com/catalogue/pieces368.html,https://www.ngccoin.com/price-guide/world/canada-25-cents-km-62-1965-1966-cuid-1034486-duid-1258745,,
