country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
Mexico,50 Centavos,Mexican Republic - 50 Centavos (2009-2025),Stainless steel,1,3.103,17,2.15,Reeded,2009,2025,COIN,https://en.numista.com/catalogue/pieces18097.html,,,
Israel,10 New Agorot,State of Israel - 10 New Agorot (1980-1985),Cu-Ni,1,2.1,16,1.38,Reeded,1980,1985,COIN,https://en.numista.com/catalogue/pieces1727.html,https://www.ngccoin.com/price-guide/world/israel-10-new-agorot-km-108-5740-1980-5744-1984-cuid-1125316-duid-1472199,,
Singapore,5 Cents,Republic of Singapore - 5 Cents (1985-1991),Aluminum bronze,1,1.56,16.75,1.22,Reeded,1985,1991,COIN,https://en.numista.com/catalogue/pieces2701.html,https://www.ngccoin.com/price-guide/world/singapore-5-cents-km-50-1985-1991-cuid-1112930-duid-1529138,,
Malaysia,10 Sen,Federal Monarchy - 10 Sen (2011-2024),Stainless steel,1,2.98,18.8,1.5,Reeded,2011,2024,COIN,https://en.numista.com/catalogue/pieces23731.html,https://www.ngccoin.com/price-guide/world/malaysia-10-sen-km-202-2011-2013-cuid-1191021-duid-1467936,,
