country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
Philippines,1 Piso,Republic - 1 Piso (2003-2017),Ni,1,5.35,24,1.9,Reeded,2003,2017,COIN,https://en.numista.com/catalogue/pieces17107.html,https://www.ngccoin.com/price-guide/world/philippines-piso-km-269a-2003-2012-cuid-1108149-duid-1566577,,
Russia,1 Rouble,Russian Federation - 1 Rouble (2002-2009),Ni,1,3.25,20.5,1.5,Reeded,2002,2009,COIN,https://en.numista.com/catalogue/pieces2088.html,https://www.ngccoin.com/price-guide/world/russia-rouble-y-833-2002-2009-cuid-1100630-duid-1575627,,
Germany,5 Reichspfennig,Weimar Republic - 5 Reichspfennig (1924-1936),Aluminum Bronze,1,2.5,18,1.42,Reeded,1924,1936,COIN,https://en.numista.com/catalogue/pieces851.html,https://www.ngccoin.com/price-guide/world/germany-weimar-republic-5-reichspfennig-km-39-1924-common-date-cuid-1129292-duid-1319827,,
Canada,1 Cent,Elizabeth II - 1 Cent (2006-2012),Copper Plated Steel,1,2.35,19.05,1.45,Plain,2006,2012,COIN,https://en.numista.com/catalogue/pieces19977.html,,,
