country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,notes
USA,Half Dollar,Barber (1892-1915),,,,,,,,,,,
USA,Half Dollar,Walking Liberty (1916-1947),,,,,,,,,,,
USA,Half Dollar,Franklin (1948-1963),,,,,,,,,,,
USA,Half Dollar,Kennedy (1964),,,,,,,,,,,
USA,Half Dollar,Kennedy (1965-1970),,,,,,,,,,,
USA,Half Dollar,Kennedy (1971-Present),,,,,,,,,,,
USA,Half Dollar,Capped Bust (1807-1839),,,,,,,,,,,
USA,Half Dollar,Columbian (1892-1893),,,,,,,,,,,
