country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,notes
USA,Half Dollar,Barber (1892-1915),Ag,0.9,12.5,30.6,2.15,Reeded,1892,1915,COIN,https://en.numista.com/catalogue/pieces10085.html,
USA,Half Dollar,Walking Liberty (1916-1947),Ag,0.9,12.5,30.6,2.15,Reeded,1916,1947,COIN,https://en.numista.com/catalogue/pieces4455.html,
USA,Half Dollar,Franklin (1948-1963),Ag,0.9,12.5,30.6,2.15,Reeded,1948,1963,COIN,https://en.numista.com/catalogue/pieces2835.html,
USA,Half Dollar,Kennedy 90% Silver (1964),Ag,0.9,12.5,30.61,2.15,Reeded,1964,1964,COIN,https://en.numista.com/catalogue/pieces943.html,
USA,Half Dollar,Kennedy 40% Silver (1965-1970),Ag,0.4,11.5,30.61,2.15,Reeded,1965,1970,COIN,https://en.numista.com/catalogue/pieces10865.html,
USA,Half Dollar,Kennedy (1971-Present),Cu-Ni,1,11.34,30.61,2.15,Reeded,1971,,COIN,https://en.numista.com/catalogue/pieces6918.html,
USA,Half Dollar,Capped Bust (1807-1839),Ag,0.8924,13.48,32.5,1.7,Reeded,1807,1836,COIN,https://en.numista.com/catalogue/pieces10637.html,
USA,Half Dollar,Columbian (1892-1893),Ag,0.9,12.5,30.61,2.15,Reeded,1892,1893,COIN,https://en.numista.com/catalogue/pieces4396.html,
