country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
Netherlands,1 Cent,Wilhelmina - 1 Cent (1913-1941),Bronze,1,2.5,19,1,Reeded,1913,1941,COIN,https://en.numista.com/catalogue/pieces2584.html,https://www.ngccoin.com/price-guide/world/netherlands-cent-km-152-1913-1941-cuid-1084563-duid-1430264,,
UK,Half Penny,Elizabeth II - Half Penny (1971-1981),Bronze,1,1.78,17.14,1.07,Plain,1971,1981,COIN,https://en.numista.com/catalogue/pieces856.html,https://www.ngccoin.com/price-guide/world/great-britain-1-2-new-penny-km-914-1971-1981-cuid-1129959-duid-1327159,,
UK,1 Penny,Elizabeth II - 1 Penny (1985-1992),Bronze,1,3.56,20.3,1.52,Plain,1985,1992,COIN,https://en.numista.com/catalogue/pieces861.html,https://www.ngccoin.com/price-guide/world/great-britain-penny-km-935-1985-1992-cuid-1129266-duid-1334748,,
Mexico,10 Centavos,Mexican Republic - 10 Centavos (2009-2019),Stainless Steel,1,1.75,14,1.65,Smooth Groove,2009,2019,COIN,https://en.numista.com/catalogue/pieces18094.html,https://www.ngccoin.com/price-guide/world/mexico-estados-unidos-mexicanos-10-centavos-km-934-2009-2014-cuid-1190424-duid-1460730,,
Germany,2 Pfennigs,Federal Republic - 2 Pfennigs (1967-2001),Fe-Cu,1,2.9,19.25,1.52,Plain,1967,2001,COIN,https://en.numista.com/catalogue/pieces1937.html,https://www.ngccoin.com/price-guide/world/germany-federal-republic-2-pfennig-km-106a-1967-2001-cuid-1129111-duid-1316947,,
Austria,50 Groschen,Second Republic - 50 Groschen (1959-2001),Alumunium Bronze,1,3,19.5,1.5,Reeded,1959,2001,COIN,https://en.numista.com/catalogue/pieces655.html,https://www.ngccoin.com/price-guide/world/austria-50-groschen-km-2885-1959-2001-cuid-1044931-duid-1216200,,
