country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,notes
USA,One Dollar,American Silver Eagle (1986-2021),Ag,0.999,31.103,40.6,2.98,Reeded,1986,2021,BULLION COIN,https://en.numista.com/catalogue/pieces298883.html,
USA,One Dollar,American Silver Eagle (2021-Present),Ag,0.999,31.103,40.6,2.98,Reeded,2021,,BULLION COIN,https://en.numista.com/catalogue/pieces298883.html,
